,,,,,,,,,,,,,,,PERN,R NORTE,R SUL,R AFRCA,AL SOLO,A SOLO V,B. P. INT,P. MNT
,Aeronave,OM,    Data,Piloto,Missão,Tempo de Voo,Obs,Pousos,Etapas,Quadrinhos,ANV,#VALUE!,,,,,,,,,,
,VC1,30,29/01/2026,BRT,PR,07:30,R SUL,1,2,3,2101,,,,,,,,,,,
,VC1,30,29/01/2026,ATD,PR,07:30,R SUL,1,2,3,2101,,,,,,,,,,,
,VC2,32,29/01/2026,SMR,ESCAV,07:30,R SUL,1,2,3,2591,,,,,,,,,,,
,VC2,32,29/01/2026,CAS,ESCAV,07:25,R SUL,0,2,3,2591,,,,,,,,,,,
,VC2,32,29/01/2026,ALX,ESCAV,07:25,R SUL,1,2,3,2591,,,,,,,,,,,
,VC2,35,04/02/2026,SZA,ESCAV,03:05,,1,2,,2590,,,,,,,,,,,
,VC2,35,04/02/2026,VAS,ESCAV,03:05,,1,2,,2590,,,,,,,,,,,
,VC2,36,04/02/2026,SMR,ESCAV,03:15,,1,2,,2591,,,,,,,,,,,
,VC2,36,04/02/2026,FES,ESCAV,03:15,,1,2,,2591,,,,,,,,,,,
,VC1,37,05/02/2026,VRS,VER,01:05,,1,1,,2101,,,,,,,,,,,
,VC1,37,05/02/2026,PCI,VER,01:05,,0,1,,2101,,,,,,,,,,,
,VC2,38,05/02/2026,DSA,INST,02:15,SBRJ,2,3,,2590,,,,,,,,,,,
,VC2,38,05/02/2026,FAI,INST,04:40,SBRJ,2,7,,2590,,,,,,,,,,,
,VC2,38,05/02/2026,SMR,INST,01:35,,0,1,,2590,,,,,,,,,,,
,VC2,38,05/02/2026,TOD,INST,00:50,SBRJ,3,3,,2590,,,,,,,,,,,
,VC1,42,06/02/2026,LIN,PR,01:40,PERN,0,1,1,2101,,,,,,,,,,,
,VC2,40,06/02/2026,ALX,ESCAV,02:45,,2,2,,2591,,,,,,,,,,,
,VC2,40,06/02/2026,SZA,ESCAV,02:45,,0,2,,2591,,,,,,,,,,,
,VC2,41,06/02/2026,FES,ESCAV,02:45,,1,2,,2590,,,,,,,,,,,
,VC2,41,06/02/2026,VAS,ESCAV,02:45,,1,2,,2590,,,,,,,,,,,
,VC2,44,06/02/2026,SMR,ESCAV,03:15,,1,2,,2591,,,,,,,,,,,
,VC2,44,06/02/2026,TOD,ESCAV,03:15,,1,2,,2591,,,,,,,,,,,
,VC1,42,07/02/2026,VTO,PR,03:10,PERN,1,2,1,2101,,,,,,,,,,,
,VC1,42,07/02/2026,BRT,PR,01:30,PERN,1,1,1,2101,,,,,,,,,,,
,VC2,45,07/02/2026,FAI,ESCAV,03:10,,1,2,,2590,,,,,,,,,,,
,VC2,45,07/02/2026,ALX,ESCAV,01:35,,0,1,,2590,,,,,,,,,,,
,VC2,45,07/02/2026,CAS,ESCAV,01:35,,1,1,,2590,,,,,,,,,,,
,VC1,46,08/02/2026,MAC,VER,00:50,,0,1,,2101,,,,,,,,,,,
,VC1,46,08/02/2026,OSV,VER,00:50,,1,1,,2101,,,,,,,,,,,
,VC2,51,08/02/2026,LTT,INST,03:50,SBRJ,2,3,,2590,,,,,,,,,,,
,VC2,51,08/02/2026,LTT,INST,00:00,CURTO,0,0,,2590,,,,,,,,,,,
,VC2,51,08/02/2026,TOD,INST,03:50,,1,3,,2590,,,,,,,,,,,
,VC2,50,08/02/2026,SAM,MNT,01:20,CURTO,1,1,,2591,,,,,,,,,,,
,VC2,50,08/02/2026,FES,MNT,01:20,,0,1,,2591,,,,,,,,,,,
,VC2,47,08/02/2026,VAS,VER,00:55,,1,1,,2590,,,,,,,,,,,
,VC2,47,08/02/2026,SZA,VER,00:55,,0,1,,2590,,,,,,,,,,,
,VC1,48,09/02/2026,ATD,PR,00:00,SBSP,0,0,,2101,,,,,,,,,,,
,VC1,48,09/02/2026,ATD,PR,02:40,PERN,1,2,1,2101,,,,,,,,,,,
,VC1,48,09/02/2026,LIN,PR,00:00,PERN,0,0,1,2101,,,,,,,,,,,
,VC1,48,09/02/2026,VTO,PR,02:40,PERN,1,2,1,2101,,,,,,,,,,,
,VC2,52,09/02/2026,DSA,ESCAV,01:55,,0,1,,2590,,,,,,,,,,,
,VC2,52,09/02/2026,CAS,ESCAV,01:30,,1,1,,2590,,,,,,,,,,,
,VC2,52,09/02/2026,SAM,ESCAV,03:25,SBSP,1,2,,2590,,,,,,,,,,,
,VC2,54,10/02/2026,FAI,ESCAV,02:35,,1,2,,2590,,,,,,,,,,,
,VC2,54,10/02/2026,CPO,ESCAV,02:35,,1,2,,2590,,,,,,,,,,,
,VC1,55,10/02/2026,BRT,TRN,00:20,SBRJ,1,1,,2101,,,,,,,,,,,
,VC1,55,10/02/2026,MAC,TRN,03:05,SBRJ,1,3,,2101,,,,,,,,,,,
,VC1,55,10/02/2026,OSV,TRN,03:45,SBRJ,2,5,,2101,,,,,,,,,,,
,VC1,55,10/02/2026,LIN,TRN,00:20,SBRJ,1,1,,2101,,,,,,,,,,,
,VC2,56,11/02/2026,FAI,ESCAV,04:35,,1,2,,2590,,,,,,,,,,,
,VC2,56,11/02/2026,ALX,ESCAV,04:35,,1,2,,2590,,,,,,,,,,,
,VC2,59,12/02/2026,SAM,ESCAV,02:45,SBRJ,2,2,,2590,,,,,,,,,,,
,VC2,59,12/02/2026,TOD,ESCAV,02:45,,0,2,,2590,,,,,,,,,,,
,VC2,60,12/02/2026,FAI,ESCAV,03:20,,1,2,,2590,,,,,,,,,,,
,VC2,60,12/02/2026,SMR,ESCAV,03:20,,1,2,,2590,,,,,,,,,,,
,VC1,63,13/02/2026,VRS,VER,00:55,,0,1,,2101,,,,,,,,,,,
,VC1,63,13/02/2026,TVS,VER,00:55,,1,1,,2101,,,,,,,,,,,
,VC2,64,13/02/2026,LTT,VER,00:40,,1,1,,2590,,,,,,,,,,,
,VC2,64,13/02/2026,DSA,VER,00:40,,0,1,,2590,,,,,,,,,,,
,VC1,65,13/02/2026,MAC,PR,03:05,PERN,2,3,3,2101,,,,,,,,,,,
,VC1,65,13/02/2026,OSV,PR,04:20,SBRJ,2,3,,2101,,,,,,,,,,,
,VC1,65,13/02/2026,PCI,PR,05:25,PERN,0,4,3,2101,,,,,,,,,,,
,VC2,73,14/02/2026,LTT,ESCAV,01:40,,1,1,,2590,,,,,,,,,,,
,VC2,73,14/02/2026,FAI,ESCAV,03:15,,1,2,,2590,,,,,,,,,,,
,VC2,73,14/02/2026,SAM,ESCAV,01:35,,0,1,,2590,,,,,,,,,,,
,VC2,74,16/02/2026,SMR,ESCAV,02:45,SBRJ,1,2,,2590,,,,,,,,,,,
,VC2,74,16/02/2026,DSA,ESCAV,01:20,,0,1,,2590,,,,,,,,,,,
,VC2,74,16/02/2026,SAM,ESCAV,01:25,,1,1,,2590,,,,,,,,,,,
,VC2,71,25/02/2026,LTT,ESCAV,11:05,R AFRCA,2,4,6,2590,,,,,,,,,,,
,VC2,71,25/02/2026,DSA,ESCAV,11:05,R AFRCA,1,4,6,2590,,,,,,,,,,,
,VC2,71,25/02/2026,ALX,ESCAV,11:05,R AFRCA,0,4,6,2590,,,,,,,,,,,
,VC2,71,25/02/2026,FAI,ESCAV,11:05,R AFRCA,1,4,6,2590,,,,,,,,,,,
,VC2,70,25/02/2026,VAS,ESCAV,13:05,R AFRCA,2,5,3,2590,,,,,,,,,,,
